frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text
735,59.0,"[np.float64(-7.414517978410402), np.float64(791.1019684529946), np.float64(399.6304902531956), np.float64(1024.4643344434076)]","[142.414794921875, 985.7991333007812, 232.1082000732422, 1024.0]","34-A9
8362"
736,59.0,"[np.float64(-7.1376931693742165), np.float64(791.7201594343447), np.float64(394.82759591664546), np.float64(1024.714276385588)]","[138.46176147460938, 984.7415161132812, 226.990234375, 1024.0]","34-A9
8362"
737,59.0,"[np.float64(-7.16103911081899), np.float64(791.6495353212878), np.float64(389.57825373157533), np.float64(1024.5886852871588)]","[135.3788299560547, 984.576171875, 220.9657440185547, 1024.0]","34-A9
8362"
738,59.0,"[np.float64(-7.016741531329757), np.float64(792.2443670372626), np.float64(384.44322044872627), np.float64(1024.8026221857406)]","[130.77548217773438, 984.931640625, 218.1246795654297, 1024.0]","34-A9
8362"
739,59.0,"[np.float64(-7.0851493931884875), np.float64(793.2950607408247), np.float64(378.9782133201809), np.float64(1025.1271602614738)]","[126.4844741821289, 984.8314208984375, 212.07998657226562, 1024.0]","34-A9
8362"
740,59.0,"[np.float64(-6.876010165898521), np.float64(793.7847798201323), np.float64(374.0111353479441), np.float64(1025.1711639559874)]","[122.2465591430664, 983.474609375, 208.7871551513672, 1024.0]","34-A9
8362"
740,79.0,"[np.float64(271.8861450594243), np.float64(798.786250326735), np.float64(445.8342237799436), np.float64(1018.1205707434865)]","[319.43353271484375, 878.2806396484375, 381.29534912109375, 897.1966552734375]",89A-298.953
741,59.0,"[np.float64(-6.7097486967007), np.float64(794.1804076474755), np.float64(369.2723156936446), np.float64(1025.1531972044897)]","[118.4312744140625, 984.3841552734375, 205.30239868164062, 1024.0]","34-A9
8362"
741,79.0,"[np.float64(267.2424476401477), np.float64(798.6370075650451), np.float64(449.1284858376722), np.float64(1019.2099247187515)]","[317.4381408691406, 878.5250244140625, 384.9210510253906, 897.3062744140625]",49A-29893
742,59.0,"[np.float64(-6.266884355925214), np.float64(794.59655931744), np.float64(365.02566087904904), np.float64(1025.1334499981106)]","[113.9869384765625, 983.4396362304688, 199.2504119873047, 1024.0]","34-A9
8362"
742,79.0,"[np.float64(264.14934924307966), np.float64(798.5413821066292), np.float64(453.16581774264955), np.float64(1020.061810018053)]","[318.2197265625, 878.4627075195312, 388.0475158691406, 897.8517456054688]",94C-98593
743,59.0,"[np.float64(-6.1465635476276645), np.float64(794.9524458882297), np.float64(360.79292529995644), np.float64(1025.097332304889)]","[109.8445816040039, 983.2693481445312, 195.85922241210938, 1024.0]","34-A9
8362"
