frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text
735,59,"64.0,64.0,64.0,64.0","142.414794921875,985.7991333007812,232.1082000732422,1024.0","34-A9
8362"
736,59,"64.0,64.0,64.0,64.0","138.46176147460938,984.7415161132812,226.990234375,1024.0","34-A9
8362"
737,59,"64.0,64.0,64.0,64.0","135.3788299560547,984.576171875,220.9657440185547,1024.0","34-A9
8362"
738,59,"64.0,64.0,64.0,64.0","130.77548217773438,984.931640625,218.1246795654297,1024.0","34-A9
8362"
739,59,"64.0,64.0,64.0,64.0","126.4844741821289,984.8314208984375,212.07998657226562,1024.0","34-A9
8362"
740,59,"64.0,64.0,64.0,64.0","122.2465591430664,983.474609375,208.7871551513672,1024.0","34-A9
8362"
741,59,"64.0,64.0,64.0,64.0","118.4312744140625,984.3841552734375,205.30239868164062,1024.0","34-A9
8362"
742,59,"64.0,64.0,64.0,64.0","113.9869384765625,983.4396362304688,199.2504119873047,1024.0","34-A9
8362"
743,59,"64.0,64.0,64.0,64.0","109.8445816040039,983.2693481445312,195.85922241210938,1024.0","34-A9
8362"
744,59,"64.0,64.0,64.0,64.0","103.0264663696289,983.0543212890625,192.40469360351562,1024.0","34-A9
8362"
745,59,"64.0,64.0,64.0,64.0","100.1034927368164,982.5037231445312,187.12948608398438,1024.0","34-A9
8362"
746,59,"64.0,64.0,64.0,64.0","99.25581359863281,982.49462890625,184.02072143554688,1023.86962890625","34-A9
8362"
747,59,"64.0,64.0,64.0,64.0","99.61576843261719,981.8912353515625,181.3983917236328,1024.0","34-A9
8362"
748,59,"64.0,64.0,64.0,64.0","94.4163818359375,984.1107177734375,178.83840942382812,1024.0","34-A9
8362"
749,59,"64.0,64.0,64.0,64.0","95.78548431396484,984.0982666015625,173.75840759277344,1023.9931640625","34-A9
8362"
740,79,"64.0,64.0,64.0,64.0","319.43353271484375,878.2806396484375,381.29534912109375,897.1966552734375",89A-29893
741,79,"64.0,64.0,64.0,64.0","317.4381408691406,878.5250244140625,384.9210510253906,897.3062744140625",89A-29893
742,79,"64.0,64.0,64.0,64.0","318.2197265625,878.4627075195312,388.0475158691406,897.8517456054688",89A-29893
743,79,"64.0,64.0,64.0,64.0","324.52947998046875,880.0636596679688,390.10906982421875,898.7609252929688",89A-29893
744,79,"64.0,64.0,64.0,64.0","329.32191467285156,880.4803771972656,394.48439025878906,899.6145324707031",89A-29893
745,79,"64.0,64.0,64.0,64.0","334.1143493652344,880.8970947265625,398.8597106933594,900.4681396484375",89A-29893
746,79,"64.0,64.0,64.0,64.0","341.94622802734375,882.2406005859375,403.35491943359375,902.5681762695312",89A-29893
